ID,Запрос,Частотность,Wordstat подтверждён,Исходный запрос,Период,Кластер,Подкластер,Интент,Тип страницы,Продукт,Коммерческий потенциал,Приоритет,Волна,Целевой URL,Статус,Источник,Примечание
41,акт скрытых работ образец заполнения,304,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,4,2 — рост,/materialy/akt-skrytyh-rabot-obrazec-zapolneniya/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
42,скачать акт освидетельствования скрытых работ,300,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,4,2 — рост,/materialy/skachat-akt-osvidetelstvovaniya-skrytyh-rabot/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
43,договор субподряда на работы образец,298,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка договора подряда,3,4,2 — рост,/materialy/dogovor-subpodryada-na-raboty-obrazec/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
44,как составить смету на строительные работы,293,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Проблемный информационный,Статья базы знаний,Проверка сметы,4,4,2 — рост,/baza-znanii/kak-sostavit-smetu-na-stroitelnye-raboty/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
45,порядок ведения исполнительной документации в строительстве,285,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,4,2 — рост,/baza-znanii/poryadok-vedeniya-ispolnitelnoi-dokumentacii-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
46,образец исполнительной документации в строительстве,268,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,4,2 — рост,/materialy/obrazec-ispolnitelnoi-dokumentacii-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
47,пример строительной сметы,248,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка сметы,3,4,2 — рост,/materialy/primer-stroitelnoi-smety/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
48,образец договора субподряда на выполнение работ,246,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка договора подряда,3,4,2 — рост,/materialy/obrazec-dogovora-subpodryada-na-vypolnenie-rabot/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
49,строительный договор субподряда образец,227,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка договора подряда,3,4,2 — рост,/materialy/stroitelnyi-dogovor-subpodryada-obrazec/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
50,скачать договор субподряда,226,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка договора подряда,3,4,2 — рост,/materialy/skachat-dogovor-subpodryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
51,договор субподряда на строительные работы образец,211,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка договора подряда,3,4,2 — рост,/materialy/dogovor-subpodryada-na-stroitelnye-raboty-obrazec/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
52,как отразить гарантийное удержание,206,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,4,2 — рост,/baza-znanii/kak-otrazit-garantiinoe-uderzhanie/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
53,скачать смету на строительные работы,202,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка сметы,3,4,2 — рост,/materialy/skachat-smetu-na-stroitelnye-raboty/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
54,цена сметы на строительные работы,198,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Коммерческий,Коммерческая страница,Проверка сметы,5,4,2 — рост,/proverki/cena-smety-na-stroitelnye-raboty/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
55,срок гарантийного удержания,196,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,4,2 — рост,/baza-znanii/srok-garantiinogo-uderzhaniya/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
56,стоимость дополнительных работ в строительстве,190,Да,дополнительные работы в строительстве,19.06.2026 – 18.07.2026,Допработы,Согласование изменений,Коммерческий,Коммерческая страница,Пакет «Допработы без потерь»,5,4,2 — рост,/proverki/stoimost-dopolnitelnyh-rabot-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
57,как самому составлять строительные сметы,176,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Проблемный информационный,Статья базы знаний,Проверка сметы,4,4,2 — рост,/baza-znanii/kak-samomu-sostavlyat-stroitelnye-smety/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
58,как составить смету на строительные работы самому,174,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Проблемный информационный,Статья базы знаний,Проверка сметы,4,4,2 — рост,/baza-znanii/kak-sostavit-smetu-na-stroitelnye-raboty-samomu/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
59,договор субподряда на оказание услуг,166,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Коммерческий,Коммерческая страница,Проверка договора подряда,5,4,2 — рост,/proverki/dogovor-subpodryada-na-okazanie-uslug/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
60,проверка актов кс 2,137,Да,проверка КС-2,19.06.2026 – 18.07.2026,КС и приёмка,КС-2 / КС-3,Коммерческое исследование,Коммерческая страница,Пакет «Закрытие работ»,5,4,2 — рост,/proverki/proverka-aktov-ks-2/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
61,срок договора субподряда,129,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Проблемный информационный,Статья базы знаний,Проверка договора подряда,4,4,2 — рост,/baza-znanii/srok-dogovora-subpodryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
62,проверка кс 2 кс 3,127,Да,проверка КС-2,19.06.2026 – 18.07.2026,КС и приёмка,КС-2 / КС-3,Коммерческое исследование,Коммерческая страница,Пакет «Закрытие работ»,5,4,2 — рост,/proverki/proverka-ks-2-ks-3/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
63,стоимость договора субподряда,114,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Коммерческий,Коммерческая страница,Проверка договора подряда,5,4,2 — рост,/proverki/stoimost-dogovora-subpodryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
64,проверка работ кс 2,112,Да,проверка КС-2,19.06.2026 – 18.07.2026,КС и приёмка,КС-2 / КС-3,Коммерческое исследование,Коммерческая страница,Пакет «Закрытие работ»,5,4,2 — рост,/proverki/proverka-rabot-ks-2/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
65,как проводить гарантийное удержание,111,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,4,2 — рост,/baza-znanii/kak-provodit-garantiinoe-uderzhanie/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
66,как прописать в договоре субподряда,106,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Проблемный информационный,Статья базы знаний,Проверка договора подряда,4,4,2 — рост,/baza-znanii/kak-propisat-v-dogovore-subpodryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
67,гарантийные удержания какой счет,105,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,4,2 — рост,/baza-znanii/garantiinye-uderzhaniya-kakoi-schet/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
68,возврат гарантийного удержания по договору подряда,96,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,4,2 — рост,/baza-znanii/vozvrat-garantiinogo-uderzhaniya-po-dogovoru-podryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
69,какие дополнительные работы в строительстве,81,Да,дополнительные работы в строительстве,19.06.2026 – 18.07.2026,Допработы,Согласование изменений,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,4,2 — рост,/baza-znanii/kakie-dopolnitelnye-raboty-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
70,как учесть гарантийные удержания,79,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,4,2 — рост,/baza-znanii/kak-uchest-garantiinye-uderzhaniya/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
71,проверка форм кс 2,75,Да,проверка КС-2,19.06.2026 – 18.07.2026,КС и приёмка,КС-2 / КС-3,Коммерческое исследование,Коммерческая страница,Пакет «Закрытие работ»,5,4,2 — рост,/proverki/proverka-form-ks-2/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
72,как подрядчику отразить гарантийное удержание,58,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,4,2 — рост,/baza-znanii/kak-podryadchiku-otrazit-garantiinoe-uderzhanie/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
73,аудит строительного проекта,23,Да,аудит строительного проекта,19.06.2026 – 18.07.2026,Аудит проекта,Риски строительства,Коммерческое исследование,Коммерческая страница,Комплексная проверка проекта,5,4,2 — рост,/proverki/audit-stroitelnogo-proekta/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
74,договор субподряда на работы,896,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,2,3,3 — расширение,/baza-znanii/dogovor-subpodryada-na-raboty/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
75,нужен ли акт скрытых работ,894,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/nuzhen-li-akt-skrytyh-rabot/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
76,строительный мусор расценка в смете,889,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,2,3,3 — расширение,/baza-znanii/stroitelnyi-musor-rascenka-v-smete/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
77,заказчик не оплачивает выполненные работы,837,Да,заказчик не оплачивает выполненные работы,19.06.2026 – 18.07.2026,Неоплата,Взыскание оплаты,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/zakazchik-ne-oplachivaet-vypolnennye-raboty/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
78,гарантийное удержание по договору,781,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/garantiinoe-uderzhanie-po-dogovoru/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
79,акт скрытых работ 2025,761,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/akt-skrytyh-rabot-2025/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
80,нужен акт на скрытые работы,751,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/nuzhen-akt-na-skrytye-raboty/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
81,приказ 344 исполнительная документация в строительстве,750,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/prikaz-344-ispolnitelnaya-dokumentaciya-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
82,акт скрытых работ заполнение,745,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/akt-skrytyh-rabot-zapolnenie/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
