money_cluster,problem,query,landing_url,free_material,product,impressions,clicks,product_clicks,checkout_starts,purchases,revenue,conversion_rate,revenue_per_visitor,confidence,updated_at
MI-1,"Выполнено, но не оплачено",,/articles/raboty-ne-prinyaty.html,/materialy/dengi.html,t1,,,,,,,,,структура,2026-08-14
MI-6,Договор создаёт будущую потерю денег,,/articles/raschet-metrami.html,/materialy/dogovor.html;/materialy/avans.html;/materialy/raschet-metrami.html,p11,,,,,,,,,структура,2026-08-14
MI-7,Контрагент становится неплатёжеспособным,,/articles/reestr-trebovaniy-kreditorov.html,/materialy/bankrotstvo.html,p9,,,,,,,,,структура,2026-08-14
MI-6,Договор создаёт будущую потерю денег,,/articles/skidka-15-procentov-na-tendere-eto-otbor-zhertv.html,/materialy/dogovor.html;/materialy/avans.html;/materialy/raschet-metrami.html,p7;p8;p11,,,,,,,,,структура,2026-08-14
MI-4,Удержания,,/articles/srok-garantiynogo-uderzhaniya.html,/materialy/uderzhaniya.html,p5,,,,,,,,,структура,2026-08-14
MI-7,Контрагент становится неплатёжеспособным,,/articles/srok-vklyucheniya-v-reestr-trebovaniy-kreditorov.html,/materialy/bankrotstvo.html,p9,,,,,,,,,структура,2026-08-14
MI-3,Выполнены дополнительные работы,,/articles/stroitelnaya-smeta-gde-teryaetsya-marzha.html,/materialy/dop-raboty.html,p13,,,,,,,,,структура,2026-08-14
MI-3,Выполнены дополнительные работы,,/articles/stroitelnyy-musor-v-smete.html,/materialy/dop-raboty.html,p13;p2,,,,,,,,,структура,2026-08-14
MI-7,Контрагент становится неплатёжеспособным,,/articles/vklyuchenie-v-reestr-trebovaniy-kreditorov.html,/materialy/bankrotstvo.html,p9,,,,,,,,,структура,2026-08-14
MI-6,Договор создаёт будущую потерю денег,,/articles/vozvrat-avansa-po-dogovoru-podryada.html,/materialy/dogovor.html;/materialy/avans.html;/materialy/raschet-metrami.html,p8,,,,,,,,,структура,2026-08-14
MI-4,Удержания,,/articles/vozvrat-garantiynogo-uderzhaniya.html,/materialy/uderzhaniya.html,p5,,,,,,,,,структура,2026-08-14
MI-3,Выполнены дополнительные работы,,/articles/vsyo-vklyucheno-v-cenu.html,/materialy/dop-raboty.html,p2,,,,,,,,,структура,2026-08-14
MI-1,"Выполнено, но не оплачено",,/articles/zakazchik-ne-oplachivaet-vypolnennye-raboty.html,/materialy/dengi.html,p1;t1,,,,,,,,,структура,2026-08-14
MI-7,Контрагент становится неплатёжеспособным,,/articles/zapros-arbitrazhnomu-upravlyayushchemu.html,/materialy/bankrotstvo.html,p9,,,,,,,,,структура,2026-08-14
MI-7,Контрагент становится неплатёжеспособным,,/articles/zayavlenie-o-vklyuchenii-v-reestr-trebovaniy.html,/materialy/bankrotstvo.html,p9,,,,,,,,,структура,2026-08-14
MI-5,Исполнительная документация,,/articles/zos-v-stroitelstve.html,/materialy/ispolnitelnaya-dokumentaciya.html;/materialy/akt-skrytyh-rabot.html,p4,,,,,,,,,структура,2026-08-14
