content_url,content_type,money_pain,stage,primary_product,secondary_product_or_free_tool,primary_cta
/articles/krasnye-flagi-dogovora-subpodryada.html,разбор,MP-6,core,p7,/materialy/dogovor.html,/products/p7-dogovor-podryada.html
/articles/neotrabotannyy-avans.html,разбор,MP-6,cross,p8,t5,/products/p8-avans-po-dogovoru-subpodryada.html
/articles/podpisannaya-ks2-ne-znachit-chto-zaplatyat.html,разбор,MP-1,core,p1,/materialy/dengi.html,/products/p1-oplata-po-ks2.html
/articles/pretenziya-za-chuzhuyu-kommunalku.html,разбор,MP-2,cross,p12,p10,/products/p12-spor-s-summoy.html
/articles/protokol-raznoglasiy-k-dogovoru.html,разбор,MP-6,core,p7,/materialy/dogovor.html,/products/p7-dogovor-podryada.html
/articles/proverka-ks-2-pered-sdachey.html,разбор,MP-2,core,p3,p1,/products/p3-shablony-ks2-ks3.html
/articles/pyat-dokazatelstv-vypolneniya.html,разбор,MP-5,core,p4,t2,/products/p4-ispolnitelnaya-dokumentaciya-pto.html
/articles/raboty-ne-prinyaty.html,разбор,MP-2,core,p3,t1,/products/p3-shablony-ks2-ks3.html
/articles/raschet-metrami.html,разбор,MP-6,cross,p11,t6,/products/p11-raschet-metrami.html
/articles/reestr-trebovaniy-kreditorov.html,разбор,MP-7,core,p9,/materialy/bankrotstvo.html,/products/p9-bankrotstvo-genpodryadchika.html
/articles/skidka-15-procentov-na-tendere-eto-otbor-zhertv.html,разбор,MP-3,core,p2,/materialy/dogovor.html,/products/p2-dopolnitelnye-raboty.html
/articles/srok-garantiynogo-uderzhaniya.html,разбор,MP-4,core,p5,/materialy/uderzhaniya.html,/products/p5-shtrafy-uderzhaniya.html
/articles/srok-vklyucheniya-v-reestr-trebovaniy-kreditorov.html,разбор,MP-7,core,p9,/materialy/bankrotstvo.html,/products/p9-bankrotstvo-genpodryadchika.html
/articles/stroitelnaya-smeta-gde-teryaetsya-marzha.html,разбор,MP-3,cross,p13,/materialy/dop-raboty.html,/products/p13-chto-v-smete-ne-oplatyat.html
/articles/stroitelnyy-musor-v-smete.html,разбор,MP-3,core,p2,p13,/products/p2-dopolnitelnye-raboty.html
/articles/vklyuchenie-v-reestr-trebovaniy-kreditorov.html,разбор,MP-7,core,p9,/materialy/bankrotstvo.html,/products/p9-bankrotstvo-genpodryadchika.html
/articles/vozvrat-avansa-po-dogovoru-podryada.html,разбор,MP-6,cross,p8,/materialy/avans.html,/products/p8-avans-po-dogovoru-subpodryada.html
/articles/vozvrat-garantiynogo-uderzhaniya.html,разбор,MP-4,core,p5,/materialy/uderzhaniya.html,/products/p5-shtrafy-uderzhaniya.html
/articles/vsyo-vklyucheno-v-cenu.html,разбор,MP-3,core,p2,/materialy/dop-raboty.html,/products/p2-dopolnitelnye-raboty.html
/articles/zakazchik-ne-oplachivaet-vypolnennye-raboty.html,разбор,MP-1,entry,t1,p1,/products/t1-pervyy-shag-pri-neoplate.html
/articles/zapros-arbitrazhnomu-upravlyayushchemu.html,разбор,MP-7,core,p9,/materialy/bankrotstvo.html,/products/p9-bankrotstvo-genpodryadchika.html
/articles/zayavlenie-o-vklyuchenii-v-reestr-trebovaniy.html,разбор,MP-7,core,p9,/materialy/bankrotstvo.html,/products/p9-bankrotstvo-genpodryadchika.html
/articles/zos-v-stroitelstve.html,разбор,MP-6,cross,p11,p4,/products/p11-raschet-metrami.html
/materialy/akt-skrytyh-rabot.html,бесплатный материал,MP-5,entry,t2,p4,/products/t2-peredacha-ispolnitelnoy-dokumentacii.html
/materialy/avans.html,бесплатный материал,MP-6,cross,t5,p8,/products/t5-trebuyut-vernut-avans.html
/materialy/bankrotstvo.html,бесплатный материал,MP-7,entry,t4,p9,/products/t4-genpodryadchik-bankrotitsya.html
/materialy/dengi.html,бесплатный материал,MP-1,entry,t1,p1,/products/t1-pervyy-shag-pri-neoplate.html
/materialy/dogovor.html,бесплатный материал,MP-6,core,p7,,/products/p7-dogovor-podryada.html
/materialy/dop-raboty.html,бесплатный материал,MP-3,core,p2,,/products/p2-dopolnitelnye-raboty.html
/materialy/ispolnitelnaya-dokumentaciya.html,бесплатный материал,MP-5,entry,t2,p4,/products/t2-peredacha-ispolnitelnoy-dokumentacii.html
/materialy/raschet-metrami.html,бесплатный материал,MP-6,entry,t6,p11,/products/t6-kvartiry-vmesto-deneg.html
/materialy/uderzhaniya.html,бесплатный материал,MP-2,entry,t3,p5,/products/t3-odnostoronniy-akt-i-zachet.html
/materialy/vozvrat-ks.html,бесплатный материал,MP-2,core,p3,,/products/p3-shablony-ks2-ks3.html
/kalkulyator.html,инструмент (ветвление),MP-1,core,p1,t1,/products/p1-oplata-po-ks2.html
/diagnostika.html,инструмент (ветвление),MP-1,,,p2,
/products/p1-oplata-po-ks2.html,товар,MP-1,core,p1,,/products/p1-oplata-po-ks2.html
/products/p10-otvet-na-pretenziyu.html,товар,MP-2,cross,p10,,/products/p10-otvet-na-pretenziyu.html
/products/p11-raschet-metrami.html,товар,MP-6,cross,p11,,/products/p11-raschet-metrami.html
/products/p12-spor-s-summoy.html,товар,MP-2,cross,p12,,/products/p12-spor-s-summoy.html
/products/p13-chto-v-smete-ne-oplatyat.html,товар,MP-3,cross,p13,,/products/p13-chto-v-smete-ne-oplatyat.html
/products/p2-dopolnitelnye-raboty.html,товар,MP-3,core,p2,,/products/p2-dopolnitelnye-raboty.html
/products/p3-shablony-ks2-ks3.html,товар,MP-2,core,p3,,/products/p3-shablony-ks2-ks3.html
/products/p4-ispolnitelnaya-dokumentaciya-pto.html,товар,MP-5,core,p4,,/products/p4-ispolnitelnaya-dokumentaciya-pto.html
/products/p5-shtrafy-uderzhaniya.html,товар,MP-4,core,p5,,/products/p5-shtrafy-uderzhaniya.html
/products/p7-dogovor-podryada.html,товар,MP-6,core,p7,,/products/p7-dogovor-podryada.html
/products/p8-avans-po-dogovoru-subpodryada.html,товар,MP-6,cross,p8,,/products/p8-avans-po-dogovoru-subpodryada.html
/products/p9-bankrotstvo-genpodryadchika.html,товар,MP-7,core,p9,,/products/p9-bankrotstvo-genpodryadchika.html
/products/t1-pervyy-shag-pri-neoplate.html,товар,MP-1,entry,t1,,/products/t1-pervyy-shag-pri-neoplate.html
/products/t2-peredacha-ispolnitelnoy-dokumentacii.html,товар,MP-5,entry,t2,ispolnitelnaya-dokumentaciya,/products/t2-peredacha-ispolnitelnoy-dokumentacii.html
/products/t3-odnostoronniy-akt-i-zachet.html,товар,MP-2,entry,t3,uderzhaniya,/products/t3-odnostoronniy-akt-i-zachet.html
/products/t4-genpodryadchik-bankrotitsya.html,товар,MP-7,entry,t4,bankrotstvo,/products/t4-genpodryadchik-bankrotitsya.html
/products/t5-trebuyut-vernut-avans.html,товар,MP-6,cross,t5,avans,/products/t5-trebuyut-vernut-avans.html
/products/t6-kvartiry-vmesto-deneg.html,товар,MP-6,entry,t6,raschet-metrami,/products/t6-kvartiry-vmesto-deneg.html
